accession,pubMedIds,platform_title,citation,name,platform_summary,platform_manufacturer,platform_distribution,platform_accession,technology_type,year,title
GSE2109,"EXPO project, PMID unknown","[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array","EXPO project, many cancers","EXPO project",hgu133plus2,Affymetrix,commercial,GPL570,"in situ oligonucleotide",2005,"EXpression Project for Oncology"
GSE26712,18593951,"[HG-U133A] Affymetrix Human Genome U133A Array","Bonome T, Levine DA, Shih J, Randonovich M, Pise-Masison CA, Bogomolniy F, Ozbun L, Brady J, Barrett JC, Boyd J, Birrer MJ: A Gene Signature Predicting for Survival in Suboptimally Debulked Patients with Ovarian Cancer. Cancer Research 2008, 68:5478 -5486.","Bonome, Birrer 2008",hgu133a,Affymetrix,commercial,GPL96,"in situ oligonucleotide",2011,"A Gene Signature Predicting for Survival in Suboptimally Debulked Patients with Ovarian Cancer"
GSE6008,19440550,"[HG-U133A] Affymetrix Human Genome U133A Array","Murph MM, Liu W, Yu S, Lu Y, Hall H, Hennessy BT, Lahad J, Schaner M, Helland A, Kristensen G, Brresen-Dale AL, Mills GB. Lysophosphatidic acid-induced transcriptional profile represents serous epithelial ovarian carcinoma and worsened prognosis. PLoS One. 2009; 4(5):e5583.","Murph, Mills 2009",hgu133a,Affymetrix,commercial,GPL96,"in situ oligonucleotide",2009,"Lysophosphatidic acid-induced transcriptional profile represents serous epithelial ovarian carcinoma and worsened prognosis."
GSE6822,"PMID unknown","[Hu6800] Affymetrix Human Full Length HuGeneFL Array","Ouellet V, Provencher DM, Maugard CM, Le Page C, Ren F, Lussier C, Novak J, Ge B, Hudson TJ, Tonin PN, Mes-Masson A-M: Discrimination between serous low malignant potential and invasive epithelial ovarian tumors using molecular profiling. Oncogene 2005, 24:4672-4687.","Ouellet, Mes-Masson 2005",hu6800,Affymetrix,commercial,GPL80,"in situ oligonucleotide",2007,"Classification of ovarian tumor samples"
GSE8842,19047114,"Agilent Human 1 cDNA Microarray (G4100A)","Marchini S, Mariani P, Chiorino G, Marrazzo E, Bonomi R, Fruscio R, Clivio L, Garbi A, Torri V, Cinquini M, Dell'Anna T, Apolone G, Broggini M, D'Incalci M.Analysis of gene expression in early-stage ovarian cancer. Clin Cancer Res. 2008 Dec 1; 14(23):7850-60.","Marchini, D'Incalci 2008",hgug4110a,Agilent,custom-commerical,GPL5689,"spotted DNA/cDNA",2008,"Analysis of gene expression in early-stage ovarian cancer."
PMID14706684,14706684,"[Hu6800] Affymetrix Human Full Length HuGeneFL Array","Lancaster JM, Dressman HK, Whitaker RS, Havrilesky L, Gray J, Marks JR, Nevins JR, Berchuck A.Gene expression patterns that characterize advanced stage serous ovarian cancers. J Soc Gynecol Investig. 2004 Jan; 11(1):51-9.","Lancaster, Berchuck 2004",hu6800,Affymetrix,commercial,GPL80,"in situ oligonucleotide",2004,"Gene expression patterns that characterize advanced stage serous ovarian cancers."
PMID15897565,15897565,"[HG-U133A] Affymetrix Human Genome U133A Array","Berchuck A, Iversen ES, Lancaster JM, Pittman J, Luo J, Lee P, Murphy S, Dressman HK, Febbo PG, West M, Nevins JR, Marks JR.Patterns of gene expression that characterize long-term survival in advanced stage serous ovarian cancers. Clin Cancer Res. 2005 May 15; 11(10):3686-96.","Berchuck, Marks 2005",hgu133a,Affymetrix,commercial,GPL96,"in situ oligonucleotide",2005,"Patterns of gene expression that characterize long-term survival in advanced stage serous ovarian cancers."
PMID19318476,19318476,"[HG-U133A] Affymetrix Human Genome U133A Array","Berchuck A, Iversen ES, Luo J, Clarke JP, Horne H, Levine DA, Boyd J, Alonso MA, Secord AA, Bernardini MQ, Barnett JC, Boren T, Murphy SK, Dressman HK, Marks JR, Lancaster JM.Microarray analysis of early stage serous ovarian cancers shows profiles predictive of favorable outcome. Clin Cancer Res. 2009 Apr 1; 15(7):2448-55.","Berchuck, Lancaster 2009",hgu133a,Affymetrix,commercial,GPL96,"in situ oligonucleotide",2009,"Microarray analysis of early stage serous ovarian cancers shows profiles predictive of favorable outcome."
PMID17290060,17290060,"[HG-U133A] Affymetrix Human Genome U133A Array","Dressman HK, Berchuck A, Chan G, Zhai J, Bild A, Sayer R, Cragun J, Clarke J, Whitaker RS, Li L, Gray J, Marks J, Ginsburg GS, Potti A, West M, Nevins JR, Lancaster JM.An integrated genomic-based approach to individualized treatment of patients with advanced-stage ovarian cancer. J Clin Oncol. 2007 Feb 10; 25(5):517-25.","Dressman, Lancaster 2007",hgu133a,Affymetrix,commercial,GPL96,"in situ oligonucleotide",2007,"An integrated genomic-based approach to individualized treatment of patients with advanced-stage ovarian cancer."
TCGA,21720365,"[HT_HG-U133A] Affymetrix HT Human Genome U133A Array","Integrated genomic analyses of ovarian carcinoma. Nature 2011, 474:609-615.","Cancer GenomeAtlas Research Network 2011",hthgu133a,Affymetrix,commercial,GPL3921,"in situ oligonucleotide",2011,"Integrated genomic analyses of ovarian carcinoma."
PMID15505275,15505275,"[HG_U95A] Affymetrix Human Genome U95A Array","Spentzos D, Levine DA, Ramoni MF, Joseph M, Gu X, Boyd J, Libermann TA, Cannistra SA.Gene expression signature with independent prognostic significance in epithelial ovarian cancer. J Clin Oncol. 2004 Dec 1; 22(23):4700-10.","Spentzos, Cannistra 2004",hgu951,Affymetrix,commercial,GPL8300,"in situ oligonucleotide",2004,"Gene expression signature with independent prognostic significance in epithelial ovarian cancer."
E-MTAB-386,22348002,"Illumina humanRef-8 v2.0 expression beadchip","Bentink S, Haibe-Kains B, Risch T, Fan J-B, Hirsch MS, Holton K, Rubio R, April C, Chen J, Wickham-Garcia E, Liu J, Culhane A, Drapkin R, Quackenbush J, Matulonis UA: Angiogenic mRNA and microRNA gene expression signature predicts a novel subtype of serous ovarian cancer. PLoS ONE 2012, 7:e30269.","Bentink, Matulonis 2012",illuminaHumanv2,Illumina,commercial,GPL6104,"in situ oligonucleotide",2012,"Angiogenic mRNA and microRNA gene expression signatures predict overall survival in serous ovarian cancer."
GSE32062-GPL6480,22241791,"Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version)","Yoshihara K, Tsunoda T, Shigemizu D, Fujiwara H et al. High-risk ovarian cancer based on 126-gene expression signature is uniquely characterized by downregulation of antigen presentation pathway. Clin Cancer Res 2012 Mar 1;18(5):1374-85.","Yoshihara, Tanaka 2012",hgug4112a,Agilent,commercial,GPL6480,"in situ oligonucleotide",2012,"High-risk ovarian cancer based on 126-gene expression signature is uniquely characterized by downregulation of antigen presentation pathway."
GSE32063,22241791,"Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version)","Yoshihara K, Tsunoda T, Shigemizu D, Fujiwara H et al. High-risk ovarian cancer based on 126-gene expression signature is uniquely characterized by downregulation of antigen presentation pathway. Clin Cancer Res 2012 Mar 1;18(5):1374-85.","Yoshihara, Tanaka 2012",hgug4112a,Agilent,commercial,GPL6480,"in situ oligonucleotide",2012,"High-risk ovarian cancer based on 126-gene expression signature is uniquely characterized by downregulation of antigen presentation pathway."
GSE30009,22492981,"TaqMan qRT-PCR Homo sapiens Low-Density Array 380","Gillet JP, Calcagno AM, Varma S, Davidson B et al. Multidrug resistance-linked gene signature predicts overall survival of patients with primary ovarian serous carcinoma. Clin Cancer Res 2012 Jun 1;18(11):3197-206.","Gillet, Gottesman 2012",NA,TaqMan,custom,GPL13728,"qRT-PCR",2012,"Multidrug resistance-linked gene signature predicts overall survival of patients with primary ovarian serous carcinoma."
