"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","biomaterial_provider_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_phone","contact_fax","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","contact_web_link","supplementary_file","data_row_count"
"GSM327292","01-TB-035: MSS","GSM327292","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","01-TB-035","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327292/GSM327292.CEL.gz","54675"
"GSM327293","01-TB-037: MSS","GSM327293","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","01-TB-037","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327293/GSM327293.CEL.gz","54675"
"GSM327294","02-TB-016: MSS","GSM327294","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-016","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327294/GSM327294.CEL.gz","54675"
"GSM327295","02-TB-018: MSS","GSM327295","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-018","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327295/GSM327295.CEL.gz","54675"
"GSM327296","02-TB-035: MSS","GSM327296","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-035","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327296/GSM327296.CEL.gz","54675"
"GSM327297","02-TB-038: MSS","GSM327297","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-038","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327297/GSM327297.CEL.gz","54675"
"GSM327298","02-TB-040: MSS","GSM327298","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-040","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327298/GSM327298.CEL.gz","54675"
"GSM327299","02-TB-042: MSS","GSM327299","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-042","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327299/GSM327299.CEL.gz","54675"
"GSM327300","02-TB-045: MSS","GSM327300","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-045","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327300/GSM327300.CEL.gz","54675"
"GSM327301","02-TB-050: MSS","GSM327301","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-050","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327301/GSM327301.CEL.gz","54675"
"GSM327302","02-TB-052: MSS","GSM327302","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-052","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327302/GSM327302.CEL.gz","54675"
"GSM327303","02-TB-055: MSS","GSM327303","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-055","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327303/GSM327303.CEL.gz","54675"
"GSM327304","02-TB-056: MSS","GSM327304","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-056","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327304/GSM327304.CEL.gz","54675"
"GSM327305","02-TB-059: MSS","GSM327305","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-059","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327305/GSM327305.CEL.gz","54675"
"GSM327306","02-TB-060: MSS","GSM327306","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-060","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327306/GSM327306.CEL.gz","54675"
"GSM327307","02-TB-061: MSS","GSM327307","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","02-TB-061","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327307/GSM327307.CEL.gz","54675"
